district,agencyid,website,meals_provided,P-EBT,all_schools,community_sites,pickup,school_bus_deliv,home_deliv,drive_through_pickup,daily_pickup,not_daily,parent_pickup,school_id_required,meals_for_all_children,weekend_meals,free_meals,ID
1301440,COMMERCE CITY,http://www.commerce-city.k12.ga.us,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1301440
2005100,CONCORDIA,http://www.usd333.com,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,2005100
2801260,CORINTH SCHOOL DIST,http://www.corinth.k12.ms.us,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,2801260
2610860,CORUNNA PUBLIC SCHOOLS,http://www.corunna.k12.mi.us,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,2610860
4009510,DAVIS,http://www.daviswolves.org,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,4009510
1200420,DESOTO,http://www.desotoschools.com/,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1200420
2910770,DEXTER R-XI,http://DEXTER.K12.MO.US/,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,2910770
2911310,EL DORADO SPRINGS R-II,http://www.eldo.k12.mo.us/,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,2911310
2006090,EUDORA,http://www.eudoraschools.org,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,2006090
2700124,FAIRMONT AREA SCHOOL DISTRICT,http://fairmont.k12.mn.us/,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,2700124
2602730,ALPENA PUBLIC SCHOOLS,http://www.alpenaschools.com,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,2602730
1903570,ANAMOSA COMM SCHOOL DISTRICT,http://www.anamosa.k12.ia.us,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1903570
3700240,ASHEBORO CITY SCHOOLS,http://www.asheboro.k12.nc.us/,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3700240
3904352,ATHENS CITY,http://www.athenscsd.org,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,3904352
3604050,BATH CENTRAL SCHOOL DISTRICT,http://www.bathcsd.org,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,3604050
3904892,BENTON CARROLL SALEM LOCAL,http://www.bcs.k12.oh.us/,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,3904892
3904716,BERKSHIRE LOCAL,http://www.berkshireschools.org/,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,3904716
4810200,BIG SPRING ISD,http://www.bsisd.esc18.net,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,4810200
